Nâng cấp bắt đầu: 15:17:54_23-07-2024
15:17:54_23-07-2024 | ::1 | Cập nhật hệ thống lên 4.5.06 | SUCCESS
15:17:55_23-07-2024 | ::1 | Cập nhật CSDL lên phiên bản 4.5.06 | SUCCESS
15:18:23_23-07-2024 | ::1 | Tạo thư mục assets/js/highlight | SUCCESS
15:18:23_23-07-2024 | ::1 | Tạo thư mục assets/js/stickytableheaders | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/2step.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/add.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/api-roles.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/edit.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/main.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/authors/module.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/database/file.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/database/functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/database/sampledata.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/database/savefile.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/extensions/download.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/extensions/functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/extensions/install.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/extensions/upload.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/index.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/language/check.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/modules/change_custom_name.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/modules/change_site_title.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/seotools/sitemapPing.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/admin.menu.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/ftp.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/headers.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/security.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/system.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/settings/variables.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/themes/admin.menu.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/themes/main.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file admin/upload/addlogo.php | SUCCESS
